text;biling_sent_rel;biling_type;biling_stance;biling_arg;abstract_number;;;;;;
A trend toward the same effect was also seen in nonimmigrants whose first language was French.;0;3;2;1;27;;;;;;
In contrast, in nonimmigrants whose first language was English, no such effect was found.;0;3;0;1;27;;;;;;
These results are discussed in relation to the earlier findings and the theory of cognitive reserve.;0;3;-1;-1;27;;;;;;
We report two experiments exploring more in detail the bilingual advantage in conflict resolution tasks.;1;2;2;1;28;;;;;;
In particular, we focus on the origin of the bilingual advantage on overall reaction times in the flanker task.;1;2;2;1;28;;;;;;
Bilingual and monolingual participants were asked to perform a flanker task under different task versions.;1;2;-1;-1;28;;;;;;
In Experiment 1, we used two low-monitoring versions where most of the trials were of just one type (either congruent or incongruent).;-1;2;-1;-1;28;;;;;;
In Experiment 2, we used two high-monitoring versions where congruent and incongruent trials were more evenly distributed.;-1;2;-1;-1;28;;;;;;
An effect of bilingualism in overall reaction times was only present in the high-monitoring condition.;1;3;2;1;28;;;;;;
These results reveal that when the task at hand recruits a good deal of monitoring resources, bilinguals outperform monolinguals.;1;3;2;1;28;;;;;;
This observation suggests that bilingualism may affect the monitoring processes involved in executive control.;1;3;2;1;28;;;;;;
Objectives: There is strong epidemiologic evidence to suggest that older adults who maintain an active lifestyle in terms of social, mental, and physical engagement are protected to some degree against the onset of dementia.;-1;1;-1;-1;29;;;;;;
Such factors are said to contribute to cognitive reserve, which acts to compensate for the accumulation of amyloid and other brain pathologies.;0;1;2;1;29;;;;;;
We present evidence that lifelong bilingualism is a further factor contributing to cognitive reserve.;1;3;2;1;29;;;;;;
Methods: Data were collected from 211 consecutive patients diagnosed with probable Alzheimer disease (AD).;-1;2;-1;-1;29;;;;;;
Patients’ age at onset of cognitive impairment was recorded, as was information on occupational history, education, and language history, including fluency in English and any other languages.;0;2;-1;-1;29;;;;;;
Following this procedure, 102 patients were classified as bilingual and 109 as monolingual.;1;2;-1;-1;29;;;;;;
Results: We found that the bilingual patients had been diagnosed 4.3 years later and had reported the onset of symptoms 5.1 years later than the monolingual patients.;1;3;2;1;29;;;;;;
The groups were equivalent on measures of cognitive and occupational level, there was no apparent effect of immigration status, and the monolingual patients had received more formal education.;0;3;2;1;29;;;;;;
There were no gender differences.;-1;3;-1;-1;29;;;;;;
Conclusions: The present data confirm results from an earlier study, and thus we conclude that lifelong bilingualism confers protection against the onset of AD.;1;3;2;1;29;;;;;;
The effect does not appear to be attributable to such possible confounding factors as education, occupational status, or immigration.;-1;3;2;1;29;;;;;;
Bilingualism thus appears to contribute to cognitive reserve, which acts to compensate for the effects of accumulated neuropathology.;1;3;2;1;29;;;;;;
Previous studies have identified bilingualism as a protective factor against dementia. ;1;1;2;1;30;;;;;;
Here we aimed to test whether being bilingual at different life stages impacts cognition and brain structure in older adulthood. ;1;2;-1;-1;30;;;;;;
We included 746 participants from the DZNE-Longitudinal Cognitive Impairment and Dementia Study (DELCODE). ;-1;2;-1;-1;30;;;;;;
Assessment of bilingualism at 3 life stages (early: 13–30, middle: 30–65 and late: over 65 years old) was determined with the Lifetime of Experiences Questionnaire. ;1;2;-1;-1;30;;;;;;
Individuals reporting bilingualism (i.e., daily use of L2) in the early life stage outperformed monolinguals on learning & memory, working-memory, executive functions and language. ;1;3;2;1;30;;;;;;
Bilingualism in middle life stage showed a significant advantage on learning & memory, while no effect of bilingualism in old life stage was identified. ;1;3;1;1;30;;;;;;
Brain gray matter volume was not associated with L2 use and did not differ between groups.;0;3;0;1;30;;;;;;
However, stronger correlations between brain gray matter volume in selected brain regions and cognitive performance were found in bilingual participants in the early and middle life stages. ;1;3;2;1;30;;;;;;
Our results indicate that bilingualism in early life might provide a long-lasting protective effect on cognition and shape the brain to sustain cognitive performance in older adulthood.;1;3;2;1;30;;;;;;
In recent decades several authors have suggested that bilinguals exhibit enhanced cognitive control as compared to monolinguals and some proposals suggest that this main difference between monolinguals and bilinguals is related to bilinguals’ enhanced capacity of inhibiting irrelevant information.;1;1;2;1;31;;;;;;
This has led to the proposal of the so-called bilingual advantage in inhibitory skills.;1;1;2;1;31;;;;;;
However, recent studies have cast some doubt on the locus and generality of the alleged bilingual advantage in inhibitory skills.;1;1;0;1;31;;;;;;
In the current study we investigated inhibitory skills in a large sample of 252 monolingual and 252 bilingual children who were carefully matched on a large number of indices.;1;2;-1;-1;31;;;;;;
We tested their performance in a verbal Stroop task and in a nonverbal version of the same task (the number size-congruency task).;-1;2;-1;-1;31;;;;;;
Results were unequivocal and showed that bilingual and monolingual participants performed equally in these two tasks across all the indices or markers of inhibitory skills explored.;1;3;0;1;31;;;;;;
Furthermore, the lack of differences between monolingual and bilingual children extended to all the age ranges tested and was not modulated by any of the independent factors investigated.;1;3;0;1;31;;;;;;
In light of these results, we conclude that bilingual children do not exhibit any specific advantage in simple inhibitory tasks as compared to monolinguals.;1;3;0;1;31;;;;;;
Bilingualism as a component of cognitive reserve has been claimed to delay the onset of Alzheimer's disease (AD).;1;1;2;1;32;;;;;;
However, its effect on cerebrospinal fluid (CSF) AD-biomarkers has not been investigated.;-1;1;-1;-1;32;;;;;;
We assessed cognitive performance and CSF AD-biomarkers, and potential moderation effect of bilingualism on the association between age, CSF AD-biomarkers, and cognition.;1;2;-1;-1;32;;;;;;
Cognitively healthy middle-aged participants classified as monolinguals (n = 100, nCSF = 59), early (n = 81, nCSF = 55) and late bilinguals (n = 97, nCSF = 52) were evaluated.;1;2;-1;-1;32;;;;;;
"Models adjusted for confounders showed that bilinguals performed better than monolinguals on digits backwards (early-bilinguals p = 0.003), Judgment of Line Orientation (JLO) (early-bilinguals p = 0.018; late-bilinguals p = 0.004), and Trail Making Test-B (late-bilinguals p = 0.047).";1;3;2;1;32;;;;;;
Early bilingualism was associated with lower CSF total-tau (p = 0.019) and lower prevalence of preclinical AD (NIA-AA classification) (p = 0.02).;1;3;2;1;32;;;;;;
Bilingualism showed a moderation effect on the relationship between age and CSF AD-biomarkers and the relationship between age and executive function.;1;3;2;1;32;;;;;;
We conclude that bilingualism contributes to cognitive reserve enhancing executive and visual-spatial functions.;1;3;2;1;32;;;;;;
For the first time, this study reveals that early bilingualism is associated with more favorable CSF AD-biomarker profile.;1;3;2;1;32;;;;;;
There is an emerging literature suggesting that speaking two or more languages may significantly delay the onset of dementia.;0;1;2;1;33;;;;;;
Although the mechanisms are unknown, it has been suggested that these may involve cognitive reserve, a concept that has been associated with factors such as higher levels of education, occupational status, social networks, and physical exercise.;0;1;2;1;33;;;;;;
In the case of bilingualism, cognitive reserve may involve reorganization and strengthening of neural networks that enhance executive control.;1;1;2;1;33;;;;;;
We review evidence for protective effects of bilingualism from a multicultural perspective involving studies in Toronto and Montreal, Canada, and Hyderabad, India.;1;2;2;1;33;;;;;;
Reports from Toronto and Hyderabad showed a significant effect of speaking two or more languages in delaying onset of Alzheimer’s disease by up to 5 years, whereas the Montreal study showed a significant protective effect of speaking at least four languages and a protective effect of speaking at least two languages in immigrants.;0;3;2;1;33;;;;;;
Although there were differences in results across studies, a common theme was the significant effect of language use history as one of the factors in determining the onset of Alzheimer’s disease.;0;3;2;1;33;;;;;;
Moreover, the Hyderabad study extended the findings to frontotemporal dementia and vascular dementia.;-1;3;2;1;33;;;;;;
Alzheimer's disease (AD) is a progressive brain disorder that initially affects medial temporal lobe circuitry and memory functions.;-1;1;-1;-1;34;;;;;;
Current drug treatments have only modest effects on the symptomatic course of the disease.;-1;1;-1;-1;34;;;;;;
In contrast, a growing body of evidence suggests that lifelong bilingualism may delay the onset of clinical AD symptoms by several years.;1;1;2;1;34;;;;;;
The purpose of the present review is to summarize evidence for bilingualism as a reserve variable against AD and discuss potential underlying neurocognitive mechanisms.;1;2;2;1;34;;;;;;
Evidence is reviewed suggesting that bilingualism may delay clinical AD symptoms by protecting frontostriatal and frontoparietal executive control circuitry rather than medial temporal lobe memory circuitry.;1;3;2;1;34;;;;;;
Cellular and molecular mechanisms that may contribute to bilingual cognitive reserve effects are discussed, including those that may affect neuronal metabolic functions, dynamic neuronal–glial interactions, vascular factors, myelin structure and neurochemical signaling.;1;3;2;1;34;;;;;;
Future studies that may test some of these potential mechanisms of bilingual CR effects are proposed.;1;3;-1;-1;34;;;;;;
Recent behavioral data have shown that lifelong bilingualism can maintain youthful cognitive control abilities in aging.;1;1;2;1;35;;;;;;
Here, we provide the first direct evidence of a neural basis for the bilingual cognitive control boost in aging.;1;1;2;1;35;;;;;;
Two experiments were conducted, using a perceptual task-switching paradigm, including a total of 110 participants.;-1;2;-1;-1;35;;;;;;
In Experiment 1, older adult bilinguals showed better perceptual switching performance than their monolingual peers.;1;3;2;1;35;;;;;;
In Experiment 2, younger and older adult monolinguals and bilinguals completed the same perceptual task-switching experiment while functional magnetic resonance imaging (fMRI) was performed.;1;2;-1;-1;35;;;;;;
Typical age-related performance reductions and fMRI activation increases were observed.;-1;2;-1;-1;35;;;;;;
However, like younger adults, bilingual older adults outperformed their monolingual peers while displaying decreased activation in left lateral frontal cortex and cingulate cortex.;1;3;2;1;35;;;;;;
Critically, this attenuation of age-related over-recruitment associated with bilingualism was directly correlated with better task-switching performance.;1;3;2;1;35;;;;;;
In addition, the lower blood oxygenation level-dependent response in frontal regions accounted for 82% of the variance in the bilingual task-switching reaction time advantage.;1;3;2;1;35;;;;;;
These results suggest that lifelong bilingualism offsets age-related declines in the neural efficiency for cognitive control processes.;1;3;2;1;35;;;;;;
Bilinguals often outperform monolinguals on executive function tasks, including tasks that tap cognitive flexibility, conflict monitoring, and task-switching abilities.;1;1;2;1;36;;;;;;
Some have suggested that bilinguals also have greater working memory capacity than comparable monolinguals, but evidence for this suggestion is mixed.;1;1;1;1;36;;;;;;
We therefore conducted a comprehensive meta-analysis on the effects of bilingualism on working memory capacity.;1;2;-1;-1;36;;;;;;
Results from 88 effect sizes, 27 independent studies, and 2,901 participants revealed a significant small to medium population effect size of 0.20 in favor of greater working memory capacity for bilinguals than monolinguals.;1;3;2;1;36;;;;;;
This suggests that experience managing two languages that compete for selection results in greater working memory capacity over time.;0;3;2;1;36;;;;;;
Moderator analyses revealed that largest effects were observed in children than other age groups.;-1;3;-1;-1;36;;;;;;
"Furthermore, whether the task was performed in the first (L1) or second (L2) language for bilinguals moderated the effect size of the bilingual advantage; this factor is often overlooked and our results point to the importance of defining language variables that influence critical cognitive outcomes.";1;3;1;1;36;;;;;;
Objective: Cognitive reserve refers to how individuals actively utilize neural resources to cope with neuropathology to maintain cognitive functioning.;0;1;-1;-1;37;;;;;;
The present review aims to critically examine the literature addressing the relationship between bilingualism and cognitive reserve to elucidate whether bilingualism delays the onset of cognitive and behavioral manifestations of dementia.;1;2;-1;-1;37;;;;;;
Potential neural mechanisms behind this relationship are discussed.;-1;2;-1;-1;37;;;;;;
Method: PubMed and PsycINFO databases were searched (through January 2014) for original research articles in English or Spanish languages.;0;2;-1;-1;37;;;;;;
The following search strings were used as keywords for study retrieval:“bilingual AND reserve,”“reserve AND neural mechanisms,” and “reserve AND multilingualism.”.;1;2;-1;-1;37;;;;;;
Results: Growing scientific evidence suggests that lifelong bilingualism contributes to cognitive reserve and delays the onset of Alzheimer’s disease symptoms, allowing bilingual individuals affected by Alzheimer’s disease to live an independent and richer life for a longer time than their monolingual counterparts.;1;3;2;1;37;;;;;;
Lifelong bilingualism is related to more efficient use of brain resources that help individuals maintain cognitive functioning in the presence of neuropathology.;1;3;2;1;37;;;;;;
We propose multiple putative neural mechanisms through which lifelong bilinguals cope with neuropathology.;1;3;2;1;37;;;;;;
The roles of immigration status, education, age of onset, proficiency, and frequency of language use on the relationship between cognitive reserve and bilingualism are considered.;1;2;-1;-1;37;;;;;;
Conclusions: Implications of these results for preventive practices and future research are discussed.;-1;2;-1;-1;37;;;;;;
Based on previous reports of bilinguals’ reduced non-linguistic switch cost, we explored how bilingualism affects various task-switching mechanisms.;1;1;2;1;38;;;;;;
We tested different groups of Spanish monolinguals and highly-proficient Catalan–Spanish bilinguals in different task-switching implementations.;1;2;-1;-1;38;;;;;;
In Experiment 1 we disengaged the restart cost typically occurring after a cue from the switch cost itself using two cue–task versions varying in explicitness.;0;2;-1;-1;38;;;;;;
In Experiment 2 we tested bilingualism effects on overriding conflicting response sets by including bivalency effects.;1;2;-1;-1;38;;;;;;
In Experiment 3 we attempted to replicate the reduced switch cost of bilinguals with the same implementation as in previous studies.;1;2;-1;-1;38;;;;;;
Relative to monolinguals, bilinguals showed a reduced restart cost in the implicit cue–task version of Experiment 1 and overall faster response latencies in Experiment 2.;1;3;2;1;38;;;;;;
However, bilinguals did not show reduced switch cost in any experiment – not even in an omnibus analysis combining the standardized switch cost scores of 292 participants across the three experiments.;1;3;0;1;38;;;;;;
These results qualify previous claims about bilingualism reducing non-linguistic switch costs.;1;3;2;1;38;;;;;;
It has been proposed that the unique need for early bilinguals to manage multiple languages while their executive control mechanisms are developing might result in long-term cognitive advantages on inhibitory control processes that generalize beyond the language domain.;1;1;2;1;39;;;;;;
We review the empirical data from the literature on nonlinguistic interference tasks to assess the validity of this proposed bilingual inhibitory control advantage.;1;2;-1;-1;39;;;;;;
Our review of these findings reveals that the bilingual advantage on conflict resolution, which by hypothesis is mediated by inhibitory control, is sporadic at best, and in some cases conspicuously absent.;1;3;0;1;39;;;;;;
A robust finding from this review is that bilinguals typically outperform monolinguals on both compatible and incompatible trials, often by similar magnitudes.;1;3;2;1;39;;;;;;
Together, these findings suggest that bilinguals do enjoy a more widespread cognitive advantage (a bilingual executive processing advantage) that is likely observable on a variety of cognitive assessment tools but that, somewhat ironically, is most often not apparent on traditional assays of nonlinguistic inhibitory control processes.;1;3;1;1;39;;;;;;
An advantage for bilingual relative to monolingual young adults has been found for cognitive control tasks, although this finding is not consistent in the literature.;1;1;1;1;40;;;;;;
The present investigation further examined this advantage using three tasks previously found to be sensitive to the effect.;0;2;-1;-1;40;;;;;;
Furthermore, both behavioral and event-related brain potential (ERP) measures were included.;-1;2;-1;-1;40;;;;;;
Monolingual (n = 25) and highly proficient bilingual (n = 26) young adults completed a Stroop, Simon, and Eriksen flanker task while electrophysiological recording took place.;1;2;-1;-1;40;;;;;;
Behaviorally there were no language group differences on any of the tasks.;0;3;0;1;40;;;;;;
"The ERP measures demonstrated differences between monolinguals and bilinguals with respect to conflict monitoring, resource allocation, stimulus categorization, and error-processing; however, these differences were not consistent across tasks.";1;3;1;1;40;;;;;;
Given the similar behavioral performance across the groups the observed differences in brain responses may not represent an advantage for bilinguals.;1;3;0;1;40;;;;;;
The results are discussed with respect to previous findings.;-1;2;-1;-1;40;;;;;;
This study examined the relationship between individuals’ creativity and their degree of bilingualism, which is reflective of multicultural experiences.;1;2;-1;-1;41;;;;;;
A total of 116 Korean American students (49 boys & 65 girls) participated in this study.;0;2;-1;-1;41;;;;;;
The Word Association Test (Lambert, 1956) and Subject Self Rating (Peal & Lambert, 1962) were used to measure participants’ bilingualism, and the Torrance Tests of Creative Thinking (Torrance, 2008) was used to measure their creative potential.;1;2;-1;-1;41;;;;;;
The results indicated that individuals’ degree of bilingualism and creativity are positively correlated, regardless of gender or age.;1;3;2;1;41;;;;;;
Girls outperformed boys in the areas of bilingualism, Elaboration, and Abstractness of Titles, and age was not an influential factor on either creativity or bilingualism.;1;3;-1;-1;41;;;;;;
Younger and older adults who were either monolingual or bilingual were tested with verbal and spatial working memory (WM) span tasks.;1;2;-1;-1;42;;;;;;
Aging was associated with a greater decline in spatial WM than in verbal WM, but the age-related declines were equivalent in both language groups.;0;3;0;1;42;;;;;;
The bilingual participants outperformed the monolinguals in spatial WM, but achieved lower levels of performance than monolinguals in verbal WM.;1;3;1;1;42;;;;;;
This interaction between bilingualism and WM domain was also consistent across the adult life span.;1;3;1;1;42;;;;;;
These results are discussed in terms of the interactions between a domain-general executive processing advantage for bilinguals and the domain-specific content of particular WM tasks.;1;3;1;1;42;;;;;;
Two studies are reported comparing the performance of monolingual and bilingual children on tasks requiring different levels of working memory.;1;2;-1;-1;43;;;;;;
In the first study, 56 5-year-olds performed a Simon-type task that manipulated working memory demands by comparing conditions based on two rules and four rules and manipulated conflict resolution demands by comparing conditions that included conflict with those that did not.;0;2;-1;-1;43;;;;;;
Bilingual children responded faster than monolinguals on all conditions and bilinguals were more accurate than monolinguals in responding to incongruent trials, confirming an advantage in aspects of executive functioning.;1;3;2;1;43;;;;;;
In the second study, 125 children 5- or 7-year-olds performed a visuospatial span task that manipulated other executive function components through simultaneous or sequential presentation of items.;0;2;-1;-1;43;;;;;;
Bilinguals outperformed monolinguals overall, but again there were larger language group effects in conditions that included more demanding executive function requirements.;1;3;2;1;43;;;;;;
Together, the studies show an advantage for bilingual children in working memory that is especially evident when the task contains additional executive function demands.;1;3;2;1;43;;;;;;
Bilingual children often outperform monolingual children in tasks of cognitive control.;1;1;2;1;44;;;;;;
This advantage may be a consequence of the fact that bilinguals have more practice controlling attention due to an ongoing need to manage two languages.;1;1;2;1;44;;;;;;
However, existing evidence is limited because possible differences in ethnicity and socioeconomic status have not been properly controlled.;-1;1;1;1;44;;;;;;
To address this issue, we administered the Simon task to bilingual and monolingual children of identical ethnic and socioeconomic backgrounds.;1;2;-1;-1;44;;;;;;
Bilingual and monolingual children performed identically, whereas children from higher SES families were advantaged relative to children from lower SES families.;1;3;0;1;44;;;;;;
Controlling differences in SES and ethnicity may attenuate the bilingual advantage in cognitive control.;1;3;0;1;44;;;;;;
Background: Bilingualism may contribute to cognitive reserve, protect against cognitive decline, and delay the onset of dementia.;1;1;2;1;45;;;;;;
Objective: We systematically reviewed evidence about the effect of bilingualism on subsequent cognitive decline or dementia.;1;2;-1;-1;45;;;;;;
Methods: We searched electronic databases and references for longitudinal studies comparing cognitive decline in people who were bilingual with those who were monolingual and evaluated study quality.;1;2;-1;-1;45;;;;;;
We conducted meta-analyses using random effects models to calculate pooled odds ratio of incident dementia.;-1;2;-1;-1;45;;;;;;
Results: We included 13/1,156 eligible articles.;-1;2;-1;-1;45;;;;;;
Meta-analysis of prospective studies of the effects of bilingualism on future dementia gave a combined Odds Ratio of dementia of 0.96 (95% CI 0.74–1.23) in bilingual participants (n = 5,527) compared to monolinguals.;1;3;0;1;45;;;;;;
Most retrospective studies found that bilingual people were reported to develop symptoms of cognitive decline at a later age than monolingual participants.;1;1;2;1;45;;;;;;
Conclusion: We did not find that bilingualism protects from cognitive decline or dementia from prospective studies.;1;3;0;1;45;;;;;;
Retrospective studies are more prone to confounding by education, or cultural differences in presentation to dementia services and are therefore not suited to establishing causative links between risk factors and outcomes.;-1;3;0;1;45;;;;;;
Objectives: Previous reports have found that lifelong bilingualism is associated with a delay in the onset of dementia, including Dementia of the Alzheimer’s Type (DAT).;1;1;2;1;46;;;;;;
Because amnestic mild cognitive impairment (aMCI) is often a transition stage between normal aging and DAT, our aim in this paper was to establish whether this delay in symptom onset for bilinguals would also be seen in the onset of symptoms of aMCI and whether this delay would be consistent in different subtypes of aMCI.;1;2;-1;-1;46;;;;;;
Method: We examined the effect of bilingualism on the age of diagnosis in individuals with single- or multiple-domain aMCI who were administered a battery of neuropsychological tests and questionnaires about their language and social background.;1;2;-1;-1;46;;;;;;
Results: Our results showed an interaction between aMCI type and language history.;0;3;1;1;46;;;;;;
Only individuals diagnosed with single-domain aMCI demonstrated a later age of diagnosis for bilinguals (M = 79.4 years) than monolinguals (M = 74.9 years).;1;3;2;1;46;;;;;;
Discussion: This preliminary evidence suggests that the early protective advantage of bilingualism may be specific to single-domain aMCI, which is the type of aMCI most specifically associated with progression to DAT.;1;3;2;1;46;;;;;;
Three studies compared bilinguals to monolinguals on 15 indicators of executive processing (EP).;1;2;-1;-1;47;;;;;;
Most of the indicators compare a neutral or congruent baseline to a condition that should require EP.;-1;2;-1;-1;47;;;;;;
For each of the measures there was no main effect of group and a highly significant main effect of condition.;-1;3;0;1;47;;;;;;
The critical marker for a bilingual advantage, the Group ? Condition interaction, was significant for only one indicator, but in a pattern indicative of a bilingual disadvantage.;1;3;0;1;47;;;;;;
Tasks include antisaccade (Study 1), Simon (Studies 1–3), flanker (Study 3), and color-shape switching (Studies 1–3).;0;2;-1;-1;47;;;;;;
The two groups performed identically on the Raven’s Advanced Matrices test (Study 3).;-1;3;0;1;47;;;;;;
Analyses on the combined data selecting subsets that are precisely matched on parent’s educational level or that include only highly fluent bilinguals reveal exactly the same pattern of results.;1;3;0;1;47;;;;;;
A problem reconfirmed by the present study is that effects assumed to be indicators of a specific executive process in one task (e.g., inhibitory control in the flanker task) frequently do not predict individual differences in that same indicator on a related task (e.g., inhibitory control in the Simon task).;-1;3;0;1;47;;;;;;
The absence of consistent cross-task correlations undermines the interpretation that these are valid indicators of domain-general abilities.;-1;3;0;1;47;;;;;;
In a final discussion the underlying rationale for hypothesizing bilingual advantages in executive processing based on the special linguistic demands placed on bilinguals is interrogated.;1;3;0;1;47;;;;;;
Paap and Greenberg concluded that there is no coherent evidence for bilingual advantages in executive processing.;1;1;0;-1;48;;;;;;
More optimistic researchers believe that the advantages may be restricted to certain types of bilinguals.;1;1;1;1;48;;;;;;
Recent large-scale and lifespan investigations that tested highly fluent bilinguals from communities where the same two languages are spoken by most residents reported no bilingual advantages in any age group or in any of the tasks used to measure executive functioning.;1;1;0;1;48;;;;;;
The present study takes a complementary approach by examining a sample that is quite homogeneous in terms of current life experiences, but heterogeneous in terms of its exposure to second languages.;0;2;-1;-1;48;;;;;;
The composite database of 168 bilinguals and 216 monolinguals is used to explore for differences based on: (1) the age of acquiring a second language (L2), (2) the relative proficiency of an L2 and (3) the number of languages used.;1;2;-1;-1;48;;;;;;
Across 12 different measures of executive function, derived from 4 different nonverbal tasks, there was no consistent evidence supporting the hypotheses that either early bilingualism, highly fluent balanced bilingualism, or trilingualism enhances inhibitory control, monitoring or switching.;1;3;0;1;48;;;;;;
In fact, when statistically significant effects did occur, they more often disconfirmed than confirmed these hypotheses.;-1;3;0;1;48;;;;;;
The hypothesis that managing two languages enhances general executive functioning is examined.;0;2;-1;-1;49;;;;;;
More than 80% of the tests for bilingual advantages conducted after 2011 yield null results and those resulting in significant bilingual advantages tend to have small sample sizes.;1;1;1;1;49;;;;;;
Some published studies reporting significant bilingual advantages arguably produce no group differences if more appropriate tests of the critical interaction or more appropriate baselines are used.;1;1;0;1;49;;;;;;
Some positive findings are likely to have been caused by failures to match on demographic factors and others have yielded significant differences only with a questionable use of the analysis-of-covariance to “control” for these factors.;-1;1;0;1;49;;;;;;
Although direct replications are under-utilized, when they are, the results of seminal studies cannot be reproduced.;-1;1;0;1;49;;;;;;
Furthermore, most studies testing for bilingual advantages use measures and tasks that do not have demonstrated convergent validity and any significant differences in performance may reflect task-specific mechanism and not domain-free executive functions (EF) abilities.;1;1;0;1;49;;;;;;
Brain imaging studies have made only a modest contribution to evaluating the bilingual-advantage hypothesis, principally because the neural differences do not align with the behavioral differences and also because the neural measures are often ambiguous with respect to whether greater magnitudes should cause increases or decreases in performance.;1;1;0;1;49;;;;;;
The cumulative effect of confirmation biases and common research practices has either created a belief in a phenomenon that does not exist or has inflated the frequency and effect size of a genuine phenomenon that is likely to emerge only infrequently and in restricted and undetermined circumstances.;-1;3;0;1;49;;;;;;
The primary purpose of this study was to test for bilingual advantages in conflict resolution during sentence processing.;1;2;-1;-1;50;;;;;;
Experiment 1 examined the time-course of a homograph-interference effect when test words were either presented immediately after the sentence-final word or after a delay.;-1;2;-1;-1;50;;;;;;
Bilinguals and monolinguals were equally adept at using the extra time to suppress the context-inappropriate meaning when the sentence-final word was a homograph.;1;3;0;1;50;;;;;;
Experiment 2 tested the hypothesis that bilingual advantages in inhibitory control enable bilinguals to close the performance gap in a sentence grammaticality task compared to a sentence acceptability task.;1;2;-1;-1;50;;;;;;
The critical group by task interactions were not significant across four different behavioral measures.;-1;3;0;1;50;;;;;;
Recent studies offering opposing conclusions were examined for the influence of confirmation bias.;-1;2;0;1;50;;;;;;
Participants completed three cued-switching tasks, responded to two category-fluency probes, two letter-fluency probes, and two probes to alternate between two targets.;0;2;-1;-1;51;;;;;;
Correlations across the three cued-switching tasks were significant for both switching costs and mixing costs.;0;3;-1;-1;51;;;;;;
The bilingual advantage hypothesis was tested both by forming language groups and treating bilingualism as a continuous variable.;1;2;-1;-1;51;;;;;;
No bilingual advantages were observed.;1;3;0;-1;51;;;;;;
In verbal-fluency monolinguals generated more correct responses but the bilingual disadvantage on the category task was not reduced in the letter-fluency scores.;1;3;0;1;51;;;;;;
The bilingual disadvantage was eliminated when the groups were matched on vocabulary size.;1;3;0;1;51;;;;;;
The verbal-fluency measures obtained when participants alternated between targets weakly correlated with the switching-costs obtained in the cued-switching tasks.;0;3;-1;-1;51;;;;;;
A sample of 58 bilingual and 62 monolingual university students completed four tasks commonly used to test for bilingual advantages in executive functioning (EF): antisaccade, attentional network test, Simon, and color-shape switching.;1;2;-1;-1;52;;;;;;
Across the four tasks, 13 different indices were derived that are assumed to reflect individual differences in inhibitory control, monitoring, or switching.;0;2;-1;-1;52;;;;;;
The effects of bilingualism on the 13 measures were explored by directly comparing the means of the two language groups and through regression analyses using a continuous measure of bilingualism and multiple demographic characteristics as predictors.;1;2;-1;-1;52;;;;;;
Across the 13 different measures and two types of data analysis there were very few significant results and those that did occur supported a monolingual advantage.;0;3;0;1;52;;;;;;
An equally important goal was to assess the convergent validity through cross-task correlations of indices assume to measure the same component of executive functioning.;0;2;-1;-1;52;;;;;;
Most of the correlations using difference-score measures were non-significant and many near zero.;-1;3;0;1;52;;;;;;
Although modestly higher levels of convergent validity are sometimes reported, a review of the existing literature suggests that bilingual advantages (or disadvantages) may reflect task-specific differences that are unlikely to generalize to important general differences in EF.;1;3;0;1;52;;;;;;
Finally, as cautioned by Salthouse, assumed measures of executive functioning may also be threatened by a lack of discriminant validity that separates individual or group differences in EF from those in general fluid intelligence or simple processing speed.;0;3;0;1;52;;;;;;
In this special issue on the brain mechanisms that lead to cognitive benefits of bilingualism we discussed six reasons why it will be very difficult to discover those mechanisms.;1;2;-1;-1;53;;;;;;
Many of these problems apply to the article by Fernandez, Acosta, Douglass, Doshi, and Tartar that also appears in the special issue.;-1;2;-1;-1;53;;;;;;
These concerns include the following: 1) an overly optimistic assessment of the replicability of bilingual advantages in behavioral studies, 2) reliance on risky small samples sizes, 3) failures to match the samples on demographic characteristics such as immigrant status, and 4) language group differences that occur in neural measures (ie, N2 amplitude), but not in the behavioral data.;1;3;0;1;53;;;;;;
Furthermore the N2 amplitude measure in general suffers from valence ambiguity: larger N2 amplitudes reported for bilinguals are more likely to reflect poorer conflict resolution rather than enhanced inhibitory control.;1;3;0;1;53;;;;;;
The present research was designed to examine more extensively the effects of bilingualism on the intellectual functioning of children and to explore the relations between bilingualism, school achievement, and students' attitudes to the second language community.;1;2;-1;-1;54;;;;;;
The subjects were 10-year-old school children from six French schools under the jurisdiction of the Catholic School Commission of Montreal.;-1;2;-1;-1;54;;;;;;
The testing took place in the classroom and was divided into five sessions of 1 hour each, spaced about a week apart.;-1;2;-1;-1;54;;;;;;
All instructions to the children were given in French by native speakers of French, except for the test of English vocabulary which was administered by a native speaker of English.;0;2;-1;-1;54;;;;;;
Verbal and nonverbal intelligence tests and measures of attitudes to the English and French communities were successfully administered.;0;2;-1;-1;54;;;;;;
Contrary to previous findings this study found that bilinguals performed significantly better than monolinguals on both verbal and nonverbal intelligence tests.;1;3;2;1;54;;;;;;
Several explanations are suggested as to why bilinguals have this general intellectual advantage.;1;3;2;-1;54;;;;;;
It is argued that they have a language asset, are more facile at concept formation, and have a greater mental flexibility.;0;3;2;1;54;;;;;;
The results of factor analyses applied to the data supported the hypothesis that the structures of intellect for the two groups differ.;-1;3;2;1;54;;;;;;
The bilinguals appear to have a more diversified set of mental abilities than the monolinguals.;1;3;2;1;54;;;;;;
