text;relevance_sentence;type;stance;argument;abstract_number;;;;;;;;;;;;;;;;;;;;;;
"No significant differences were found between the Americans and Germans; but the English-speaking Japanese-Americans fell in between the Americans and the Japanese, closer to the Japanese.";-1;3;2;1;22;;;;;;;;;;;;;;;;;;;;;;
"The use of the ""traditional passive"" form of the Japanese verb indicates to a native speaker that the subject of the verb was involuntarily subjected to something unpleasant.";-1;1;-1;-1;23;;;;;;;;;;;;;;;;;;;;;;
"When combined with the causative form (passive causative), it is felt that the subject of the sentence was ""caused to"" take an action and is therefore not responsible for the act nor its outcome.";-1;1;-1;-1;23;;;;;;;;;;;;;;;;;;;;;;
These meanings must be expressed in English by adding whole clauses or phrases.;-1;1;-1;-1;23;;;;;;;;;;;;;;;;;;;;;;
It was hypothesized that the availability of these constructions in Japanese would cause native speakers to interpret interpersonal events by using these passive verb forms while speakers of English would not.;-1;3;2;1;23;;;;;;;;;;;;;;;;;;;;;;
In a translation study, the original and the translated versions of 20 Japanese and 21 English short stories were compared.;-1;2;-1;-1;23;;;;;;;;;;;;;;;;;;;;;;
It was found that the English-speaking translators tended to disregard the connotative meaning of the traditional passive while Japanese translators tended to read such meanings into the English original.;1;3;2;1;23;;;;;;;;;;;;;;;;;;;;;;
A perception study was based on cartoons of interpersonal conflict situations to test whether Japanese subjects would tend to attribute responsibility for the negative outcome to others rather than themselves.;-1;2;-1;-1;23;;;;;;;;;;;;;;;;;;;;;;
In this test the overall difference between Japanese and Americans was significant at the .001 level in the predicted direction.;-1;3;2;1;23;;;;;;;;;;;;;;;;;;;;;;
In related tests, however, Americans who had studied Japanese used the traditional passive about as much as did native speakers.;-1;3;0;1;23;;;;;;;;;;;;;;;;;;;;;;
The Whorf hypothesis holds that we view the world filtered through the semantic categories of our native language.;1;1;-1;-1;24;;;;;;;;;;;;;;;;;;;;;;
Over the years, consensus has oscillated between embrace and dismissal of this hypothesis.;-1;1;1;1;24;;;;;;;;;;;;;;;;;;;;;;
Here, we review recent findings on the naming and perception of color, and argue that in this semantic domain the Whorf hypothesis is half right, in two different ways: (1) language influences color perception primarily in half the visual field, and (2) color naming across languages is shaped by both universal and language-specific forces.;1;1;1;1;24;;;;;;;;;;;;;;;;;;;;;;
To the extent that these findings generalize to other semantic domains they suggest a possible resolution of the debate over the Whorf hypothesis.;1;1;1;-1;24;;;;;;;;;;;;;;;;;;;;;;
Using sources, which address various theories of Linguistic Relativity - Rossi-Landi (1973), Penn (1972), Miller (1968), and Rollins (1980) – the unique aspects of these theories are explained.;1;2;-1;-1;25;;;;;;;;;;;;;;;;;;;;;;
The intent of the paper is to expose Benjamin Lee Whorf not as the soul progenitor of the theory (that language culture and thought are interrelated), but as a reviser of centuries of scholarship.;1;2;-1;-1;25;;;;;;;;;;;;;;;;;;;;;;
The theories of Hamann, Herder, Humboldt, Boas, and Sapir are examined and conclusions are made on their influences on and differences from the Whorfian Hypothesis.;1;2;-1;-1;25;;;;;;;;;;;;;;;;;;;;;;
The Whorfian Hypothesis, which states that the structure of one's language influences the understanding of reality, is examined in relation to the Chinese language and culture and to the English language and American culture.;1;2;-1;-1;26;;;;;;;;;;;;;;;;;;;;;;
Examples supporting the Whorfian Hypothesis are offered in language relating to personal relationships.;1;2;2;1;26;;;;;;;;;;;;;;;;;;;;;;
Research on the Hypothesis is reviewed briefly, and various interpretations are noted.;1;2;-1;-1;26;;;;;;;;;;;;;;;;;;;;;;
It is concluded that while the Hypothesis in its stronger forms has been discredited, Whorf's work has opened linguistic theory to greater consideration of the relationship between language and thought.;1;3;0;1;26;;;;;;;;;;;;;;;;;;;;;;
The Sapir–Whorf hypothesis, the theory that language influences thought to the extent that people who speak different languages perceive the world differently, is discussed in the context of current calls to maintain and promote global linguistic diversity.;1;2;-1;-1;28;;;;;;;;;;;;;;;;;;;;;;
Cross-cultural psychological research is examined to assess the extent to which the hypothesis can be shown to be true.;-1;2;-1;-1;28;;;;;;;;;;;;;;;;;;;;;;
In the 1970s, research on colour perception appeared to provide evidence against the hypothesis.;0;1;0;1;28;;;;;;;;;;;;;;;;;;;;;;
More recent studies have shown that there are in fact significant and reliable differences across languages in how colour is perceived, classified, and remembered.;1;1;2;1;28;;;;;;;;;;;;;;;;;;;;;;
Research at higher levels of language is also assessed.;-1;2;-1;-1;28;;;;;;;;;;;;;;;;;;;;;;
Language appears to exert considerable influence over how people categorise, evaluate, and remember the world, especially in languages where nouns belong to different semantic categories.;1;3;2;1;28;;;;;;;;;;;;;;;;;;;;;;
Particular ways of thinking may also be more difficult in some languages than others.;-1;3;2;1;28;;;;;;;;;;;;;;;;;;;;;;
This may only mean that it is more cognitively taxing to arrive at the same notion or it can mean that an idea is highly unlikely to be expressed in a particular language.;-1;3;2;1;28;;;;;;;;;;;;;;;;;;;;;;
These differences may even transcend languages and cultures.;-1;3;2;1;28;;;;;;;;;;;;;;;;;;;;;;
It is concluded that, given the available evidence, it is vital to allow alternative perspectives of the world to be available by maintaining and promoting global linguistic diversity.;1;3;2;1;28;;;;;;;;;;;;;;;;;;;;;;
The idea that language shapes the way we think, often associated with Benjamin Whorf, has long been decried as not only wrong but also fundamentally wrong-headed.;1;1;0;1;29;;;;;;;;;;;;;;;;;;;;;;
Yet, experimental evidence has reopened debate about the extent to which language influences nonlinguistic cognition, particularly in the domain of time.;1;1;1;1;29;;;;;;;;;;;;;;;;;;;;;;
In this article, I will first analyze an influential argument against the Whorfian hypothesis and show that its anti-Whorfian conclusion is in part an artifact of conflating two distinct questions: Do we think in language and Does language shape thought.;1;2;2;1;29;;;;;;;;;;;;;;;;;;;;;;
Next, I will discuss crosslinguistic differences in spatial metaphors for time and describe experiments that demonstrate corresponding differences in nonlinguistic mental representations.;1;2;2;1;29;;;;;;;;;;;;;;;;;;;;;;
Finally, I will sketch a simple learning mechanism by which some linguistic relativity effects appear to arise.;1;2;2;1;29;;;;;;;;;;;;;;;;;;;;;;
Although people may not think in language, speakers of different languages develop distinctive conceptual repertoires as a consequence of ordinary and presumably universal neural and cognitive processes.;1;3;2;1;29;;;;;;;;;;;;;;;;;;;;;;
Investigations of the Sapir-Whorf hypothesis often ask whether there is a difference in the non-linguistic behavior of speakers of two languages, generally without modeling the underlying process.;1;1;-1;-1;30;;;;;;;;;;;;;;;;;;;;;;
Such an approach leaves underexplored the relative contributions of language and universal aspects of cognition, and how those contributions differ across languages.;1;1;2;1;30;;;;;;;;;;;;;;;;;;;;;;
We explore the naming and non-linguistic pile-sorting of spatial scenes across speakers of five languages via a computational model grounded in an influential proposal: that language will affect cognition when non-linguistic information is uncertain.;1;2;-1;-1;30;;;;;;;;;;;;;;;;;;;;;;
We report two findings.;-1;3;-1;-1;30;;;;;;;;;;;;;;;;;;;;;;
First, native language plays a small but significant role in predicting spatial similarity judgments across languages, consistent with earlier findings.;1;3;2;1;30;;;;;;;;;;;;;;;;;;;;;;
Second, thesize of the native-language role varies systematically, such that finer-grained semantic systems appear to shape similarity judgments more than coarser-grained systems do.;0;3;2;1;30;;;;;;;;;;;;;;;;;;;;;;
These findings capture the tradeoff between language-specific and universal forces in cognition, and how that tradeoff varies across languages.;1;3;2;1;30;;;;;;;;;;;;;;;;;;;;;;
Debates about linguistic relativity commonly focus on one question: Does language affect thought.;1;1;-1;-1;32;;;;;;;;;;;;;;;;;;;;;;
This yes-or-no question does not do justice to the complexity of Whorf's ideas and skirts several issues of great importance to Whorf.;1;1;-1;-1;32;;;;;;;;;;;;;;;;;;;;;;
My first aim in this article is to recover the arguments that got lost in translation of Whorf's ideas into the Sapir-Whorf hypothesis.;1;1;-1;-1;32;;;;;;;;;;;;;;;;;;;;;;
I will show that, for Whorf, languages were also one of the ways in which we think, scientists were not immune to language effects, and the key to advancement of Western science was multilingual awareness.;1;3;2;1;32;;;;;;;;;;;;;;;;;;;;;;
My second aim is to draw on these insights to articulate a Whorfian agenda for the field of second language acquisition (SLA) that asks new questions about second language learning and cognition and expands the boundaries of the field and the scope, duration, and locations of SLA research.;1;3;1;-1;32;;;;;;;;;;;;;;;;;;;;;;
The traditional approach to the Sapir-Whorf hypothesis looks at language and categorically different perception or interpretation of the environment.;1;1;-1;-1;33;;;;;;;;;;;;;;;;;;;;;;
Another aspect of linguistic relativity relates language to the process of cognition itself, including the ease or facility of cognitive processes.;1;1;-1;-1;33;;;;;;;;;;;;;;;;;;;;;;
With particular reference to the Chinese language and its unique orthography, some evidence for language-related differences in the manner of information processing is reviewed.;0;2;-1;-1;33;;;;;;;;;;;;;;;;;;;;;;
These include visual form perception, manipulation of numbers, and memory versus manipulation and elaboration of verbal information.;-1;3;1;1;33;;;;;;;;;;;;;;;;;;;;;;
These differences have implications for cognitive development as well as crosscultural testing and comparison.;-1;3;1;1;33;;;;;;;;;;;;;;;;;;;;;;
The Sapir-Whorf Hypothesis, long considered a factor in intercultural communication, is discussed.;1;1;-1;-1;34;;;;;;;;;;;;;;;;;;;;;;
Empirical studies that have tended to validate the hypothesis are reviewed, and the hypothesis is then considered from the standpoint of empirical and scientific research requirements.;-1;2;-1;-1;34;;;;;;;;;;;;;;;;;;;;;;
It is shown that the hypothesis has never been formally defined for testing, and therefore does not exist as a scientifically testable thesis.;-1;3;0;1;34;;;;;;;;;;;;;;;;;;;;;;
As a result, all studies that have attempted to interpret empirical data accorded to the hypothesis are either flawed or invalid because they have tested something other than the hypothesis.;-1;3;0;1;34;;;;;;;;;;;;;;;;;;;;;;
It is concluded that the Sapir-Whorf Hypothesis exists only as a notion, and has no meaningful relation to intercultural communication.;1;3;0;1;34;;;;;;;;;;;;;;;;;;;;;;
Modern approaches to the Whorfian linguistic relativity question have reframed it from one of whether language shapes our thinking or not, to one that tries to understand the factors that contribute to the extent and nature of any observable influence of language on perception.;1;1;-1;-1;35;;;;;;;;;;;;;;;;;;;;;;
The current paper demonstrates that such understanding is significantly enhanced by moving the evidentiary basis toward a more biologically grounded empirical arena.;-1;3;2;1;35;;;;;;;;;;;;;;;;;;;;;;
We review recent neuroscientific evidence using a variety of methodological techniques that reveal the functional organisation and temporal distribution of the ubiquitous relationship between language and cognitive processing in the human brain.;-1;3;2;1;35;;;;;;;;;;;;;;;;;;;;;;
The domain of colors has often attracted attention of researchers looking for evidence for the Sapir-Whorf hypothesis, and influence of language on color perception has been confirmed in many studies.;1;1;2;1;36;;;;;;;;;;;;;;;;;;;;;;
The present paper aims, on the one hand, at providing further evidence for the effect on a healthy sample, and, on the other, at extending research to an aphasic sample affected by color anomia, a disorder that has never been dealt in the literature about the topic.;-1;2;2;1;36;;;;;;;;;;;;;;;;;;;;;;
A test based on color similarity judgments was administered to both samples.;-1;2;-1;-1;36;;;;;;;;;;;;;;;;;;;;;;
Speakers were either native speakers of Italian or of German.;-1;2;-1;-1;36;;;;;;;;;;;;;;;;;;;;;;
The colors of the test belonged to the green and blue area of color space, and judgments on the green/blue boundary and on the light blue/dark blue boundary were analyzed.;-1;2;-1;-1;36;;;;;;;;;;;;;;;;;;;;;;
The former boundary exists in both languages, while the latter is only marked in Italian.;-1;2;-1;-1;36;;;;;;;;;;;;;;;;;;;;;;
Results provided supporting evidence for a Whorfian effect in the domain of colors.;1;3;2;1;36;;;;;;;;;;;;;;;;;;;;;;
However, this does not contradict the theory about the existence of universal basic color terms.;0;3;1;-1;36;;;;;;;;;;;;;;;;;;;;;;
Furthermore, the need for a more qualitative – rather than quantitative – approach to data is stressed.;-1;3;-1;-1;36;;;;;;;;;;;;;;;;;;;;;;
The Sapir-Whorf's hypothesis provokes intellectual discussion about the strong impact language has on our perception of the world around us.;1;1;2;1;37;;;;;;;;;;;;;;;;;;;;;;
Language plays a role as a communication tool in shaping the human thought, it's a basic thing part of human thought and perception.;1;1;2;1;37;;;;;;;;;;;;;;;;;;;;;;
This article explores the powerful influence of language on our understanding of the world.;1;2;2;1;37;;;;;;;;;;;;;;;;;;;;;;
We will investigate complex relationships between language and human thought, examining how language shapes our thoughts, emotions, and perception.;1;2;2;-1;37;;;;;;;;;;;;;;;;;;;;;;
Additionally, we will explore linguistic concepts relativity, also known as the Sapir-Whorf hypothesis, which states that the structure our language influences our understanding of reality.;1;2;-1;-1;37;;;;;;;;;;;;;;;;;;;;;;
By recognizing the intricate relationship between language and cognition, we gain valuable insight into the human experience and the complex ways in which language shapes our individual and collective lives.;1;3;2;-1;37;;;;;;;;;;;;;;;;;;;;;;
Language, culture, and mind are closely related, each of these extracts reflects one another.;0;1;2;-1;38;;;;;;;;;;;;;;;;;;;;;;
The relationship between language, culture and mind of speakers is a basic idea of Sapir and Whorf's theories and hypotheses.;1;1;-1;-1;38;;;;;;;;;;;;;;;;;;;;;;
Language politeness that is rooted in the splash of the cultural values of the speaking community, including can be seen from the packaging of the information structure as outlined in the sentence of a language.;-1;1;-1;-1;38;;;;;;;;;;;;;;;;;;;;;;
The construction of different clauses grammatically packs different information structures and politeness values.;-1;1;-1;-1;38;;;;;;;;;;;;;;;;;;;;;;
The way of thinking between cultures as outlined in a writing will be different in the way it is delivered.;0;3;2;1;38;;;;;;;;;;;;;;;;;;;;;;
The purpose of this study is to describe culture in expressive writing, is seen from the hypothesis of Edwar Sapir and Benjamin Lee Whorf.;1;2;2;1;38;;;;;;;;;;;;;;;;;;;;;;
A research approach is suggested to investigate the issue of medium of instruction in teaching math.;-1;2;-1;-1;39;;;;;;;;;;;;;;;;;;;;;;
The approach is based on the weak version of Whorfs linguistic determinism which states that variations in lexical, semantic, syntactic and pragmatic aspects of language influence thought.;1;1;-1;-1;39;;;;;;;;;;;;;;;;;;;;;;
The approach is used to study the observation that people have a difficult time expressing in Filipino, material that they have learned in English.;0;2;2;1;39;;;;;;;;;;;;;;;;;;;;;;
This paper looks into the role of language use in the transfer of information in soiving mathematical problems.;-1;2;-1;-1;39;;;;;;;;;;;;;;;;;;;;;;
"Earlier studies have shown that language-based representations of problems affect performance in math word problem; and that problem-specific information plays an important function in transfer.";-1;1;2;1;39;;;;;;;;;;;;;;;;;;;;;;
Based on these studies, it was predicted that transfer of information would be better when the language used to study the prohlcms is the same as that used in the transfer test.;-1;1;2;1;39;;;;;;;;;;;;;;;;;;;;;;
The goal of this study was to test a weak form of the Sapir-Whorf Hypothesis dealing with one of the biggest unsolved questions in linguistics: Does language affect the way we think.;1;2;-1;-1;40;;;;;;;;;;;;;;;;;;;;;;
Grammatical systems in the world’s languages differ in many aspects.;-1;1;-1;-1;40;;;;;;;;;;;;;;;;;;;;;;
Unlike English or German many languages group nouns on the basis of noun classifiers.;-1;1;-1;-1;40;;;;;;;;;;;;;;;;;;;;;;
Recently research has adressed the question if these linguistic categories built up by classifier systems influence non-linguistic thought.;1;1;-1;-1;40;;;;;;;;;;;;;;;;;;;;;;
In this paper we studied Mandarin Chinese and Thai—two languages with classifier systems.;-1;2;-1;-1;40;;;;;;;;;;;;;;;;;;;;;;
Although both are classifier languages they categorize objects in different ways.;-1;1;-1;-1;40;;;;;;;;;;;;;;;;;;;;;;
We tested if these system differences lead to different similarity judgements of objects in a non-linguistic rating task (participants had to rate the similarity of picture pairs).;-1;2;-1;-1;40;;;;;;;;;;;;;;;;;;;;;;
In contrast to previous studies we suprisingly observed no difference in categorization.;-1;3;0;1;40;;;;;;;;;;;;;;;;;;;;;;
It seems that the so-called Whorf effect, i. e. that language affects the way we perceive and categorize the world, diminishes rapidly over the time speakers are exposed to a different language system such as, in this case, German.;1;3;0;1;40;;;;;;;;;;;;;;;;;;;;;;
The idea that different languages foster different world views in their speakers is part of a tradition popularized by.;1;1;-1;-1;41;;;;;;;;;;;;;;;;;;;;;;
Wilhelm von Humboldt in the 18th century long before it became associated with Whorf.;1;1;-1;-1;41;;;;;;;;;;;;;;;;;;;;;;
In this long process, another two American linguists, Boas and Sapir, are also well-known for their great contributions to this notion.;0;1;-1;-1;41;;;;;;;;;;;;;;;;;;;;;;
This paper tries to trace the linguistic relativity back to its origin and contextualize its diachronic developments from Europe to America.;1;2;-1;-1;41;;;;;;;;;;;;;;;;;;;;;;
It is true, however, that it was Benjamin Lee Whorf, the chemical engineer and fire-insurance by profession and the linguist by avocation, who had undertaken extensive research into the language Hopi during 1932-1935 and Maya in late 1930s, and it was he who went further in indicating the relationship between language and thought.;1;1;1;-1;41;;;;;;;;;;;;;;;;;;;;;;
As a core part of Whorf’s theory complex, the linguistic relativity was once interpreted in two ways: linguistic determinism which means that language determines the way people think and linguistic relativism which implies that language influences the way people think.;1;1;-1;-1;41;;;;;;;;;;;;;;;;;;;;;;
An emotional version of Sapir-Whorf hypothesis suggests that differences in language emotionalities influence differences among cultures no less than conceptual differences.;1;1;-1;-1;42;;;;;;;;;;;;;;;;;;;;;;
"Conceptual contents of languages and cultures to significant extent are determined by words and their semantic differences; these could be borrowed among languages and exchanged among cultures.";0;1;-1;-1;42;;;;;;;;;;;;;;;;;;;;;;
Emotional differences, as suggested in the paper, are related to grammar and mostly cannot be borrowed.;0;3;1;1;42;;;;;;;;;;;;;;;;;;;;;;
Conceptual and emotional mechanisms of languages are considered here along with their functions in the mind and cultural evolution.;0;3;1;1;42;;;;;;;;;;;;;;;;;;;;;;
"A fundamental contradiction in human mind is considered: language evolution requires reduced emotionality, but ""too low"" emotionality makes language ""irrelevant to life,"" disconnected from sensory-motor experience.";-1;3;1;1;42;;;;;;;;;;;;;;;;;;;;;;
Neural mechanisms of these processes are suggested as well as their mathematical models: the knowledge instinct, the language instinct, the dual model connecting language and cognition, dynamic logic, neural modeling fields.;-1;3;-1;-1;42;;;;;;;;;;;;;;;;;;;;;;
Mathematical results are related to cognitive science, linguistics, and psychology.;-1;3;-1;-1;42;;;;;;;;;;;;;;;;;;;;;;
Experimental evidence and theoretical arguments are discussed.;-1;3;1;-1;42;;;;;;;;;;;;;;;;;;;;;;
Approximate equations for evolution of human minds and cultures are obtained.;-1;3;-1;-1;42;;;;;;;;;;;;;;;;;;;;;;
"Their solutions identify three types of cultures: ""conceptual""-pragmatic cultures, in which emotionality of language is reduced and differentiation overtakes synthesis resulting in fast evolution at the price of uncertainty of values, self doubts, and internal crises; ""traditional-emotional"" cultures where differentiation lags behind synthesis, resulting in cultural stability at the price of stagnation; and ""multi-cultural"" societies combining fast cultural evolution and stability.";-1;3;1;1;42;;;;;;;;;;;;;;;;;;;;;;
Unsolved problems and future theoretical and experimental directions are discussed.;-1;3;-1;-1;42;;;;;;;;;;;;;;;;;;;;;;
The Argentine writer Jorge Luis Borges says that “every writer creates his precursors.;-1;1;-1;-1;43;;;;;;;;;;;;;;;;;;;;;;
His work changes our conception of the past, as it will change the future.”;-1;1;-1;-1;43;;;;;;;;;;;;;;;;;;;;;;
In his writings, Benjamin Lee Whorf cites a wide and eclectic set of inspirations—which is to say that he creates, retrospectively, a set of intellectual lineages leading up to him.;1;1;-1;-1;43;;;;;;;;;;;;;;;;;;;;;;
Although some of these are scientifically respectable—quantum mechanics, relativity, colloidal chemistry, non-Euclidean geometry—others, such as psychoanalysis and “unbiased cultural anthropology,” are less evident for a chemical engineer, and some, such as his fondness for Theosophy and for the work of the occultist Fabre d’Olivet, have been used to discredit him.;-1;1;1;1;43;;;;;;;;;;;;;;;;;;;;;;
If we suspend judgment, can we fairly characterize the full field of Whorf’s retrojected precursors and can this field as a whole help understand his modification of his future and our present, in Whorf’s current reappearance in some unexpected places in literature (e.g., in speculative fiction and fantasy)?;1;3;2;1;43;;;;;;;;;;;;;;;;;;;;;;
"Benjamin L. Whorf's provocative thesis that human thinking depends on the ""grammar"" people speak is still highly controversial.";1;1;1;1;44;;;;;;;;;;;;;;;;;;;;;;
In this paper I make a suggestion for a more rational solution of the problem.;-1;2;-1;-1;44;;;;;;;;;;;;;;;;;;;;;;
Whorf's crucial example, the conceptualization of space and time in the Hopi language, has been re-analyzed on the grounds of new material collected during field-work on the Hopi reservation.;0;3;-1;-1;44;;;;;;;;;;;;;;;;;;;;;;
The results of Dr. Malotki's research into Hopi space are also mentioned.;-1;3;-1;-1;44;;;;;;;;;;;;;;;;;;;;;;
We would both like to correct some of Whorf's statements.;1;3;1;-1;44;;;;;;;;;;;;;;;;;;;;;;
Finally this paper presents the Hopi view of the world and outlines a general solution for the basic problem: the interrelationship between thinking, language, and culture.;0;3;2;1;44;;;;;;;;;;;;;;;;;;;;;;
The Sapir–Whorf hypothesis delineates two principles.;1;1;-1;-1;45;;;;;;;;;;;;;;;;;;;;;;
One is the principle of linguistic determinism, which says that the way one thinks is determined by the language one speaks.;1;1;-1;-1;45;;;;;;;;;;;;;;;;;;;;;;
Taken at its extreme, this principle means that, if we do not have a word for it, then we cannot think about it.;0;1;-1;-1;45;;;;;;;;;;;;;;;;;;;;;;
The second is the principle of linguistic relativity, sometimes called linguistic diversity, which says that the languages of the world are all very different.;1;1;-1;-1;45;;;;;;;;;;;;;;;;;;;;;;
These principles raise some important issues for cross-cultural communication.;-1;1;-1;-1;45;;;;;;;;;;;;;;;;;;;;;;
If how one thinks is a reflection of the language one speaks, then the speakers of two very different languages must think very differently.;1;3;0;-1;45;;;;;;;;;;;;;;;;;;;;;;
This could render effective and successful intercultural communication extremely difficult, if not impossible.;-1;3;0;1;45;;;;;;;;;;;;;;;;;;;;;;
Contemporary linguists qualify the Sapir–Whorf hypothesis.;1;3;1;-1;45;;;;;;;;;;;;;;;;;;;;;;
The paper raises the question of whether the linguistic relativity proposal, also known as the Sapir-Whorf Hypothesis, should be used as a frame of reference for modern research into the relationship of language to cognition.;1;1;-1;-1;46;;;;;;;;;;;;;;;;;;;;;;
The question is discussed in the context of Whorf’s (1956) writings, with emphasis on factors that are crucial to the proposal, i.e. language, thought, and behavior.;1;2;-1;-1;46;;;;;;;;;;;;;;;;;;;;;;
The second issue addressed by the paper is whether linguistic categories provide an accurate window on cognition, as was suggested by Whorf and in some of the more recent debates.;1;2;-1;-1;46;;;;;;;;;;;;;;;;;;;;;;
The analysis takes the form of a correlational study which examines the categorization criteria applied in tests that require language-based and language-neutral judgments.;-1;2;-1;-1;46;;;;;;;;;;;;;;;;;;;;;;
For many years, a common assumption in linguistics has been that the anthology of Whorf's papers (1956) espouses a distinct 'hypothesis' - the language system determines the manner in which its speakers understand reality.;1;1;-1;-1;47;;;;;;;;;;;;;;;;;;;;;;
This goes under the names of 'linguistic determinism' or the 'Whorfian hypothesis'.;1;1;-1;-1;47;;;;;;;;;;;;;;;;;;;;;;
As confirmation of this espousal, many stylisticians and critical linguists cite a famous paragraph in the paper 'Science and Linguistics' (SL).;-1;1;2;1;47;;;;;;;;;;;;;;;;;;;;;;
The `hypothesis', however, is actually a misconstrual of Whorf's writings.;1;3;0;1;47;;;;;;;;;;;;;;;;;;;;;;
An exploration of his papers, as Ellis (1993) points out, shows that there is no mention of a 'hypothesis' or any overall suggestion of such a strong deterministic relationship between linguistic systems and thought.;1;1;0;1;47;;;;;;;;;;;;;;;;;;;;;;
I offer an explanation as to why many stylisticians and critical linguists confirm the misleading 'hypothesis' as Whorf's position, and because I am particularly interested in misreading of Whorf by such linguists my main focus is SL rather than any of his other papers.;1;2;0;1;47;;;;;;;;;;;;;;;;;;;;;;
The reasons I provide are connected with the pervasiveness of objectivist background assumptions of the nature of language and thought and with how in stylistics and critical linguistics it has been overlooked that SL is intended for an educated lay-audience.;-1;3;0;1;47;;;;;;;;;;;;;;;;;;;;;;
I then examine the famous paragraph without the distraction of the 'hypothesis'.;0;3;0;1;47;;;;;;;;;;;;;;;;;;;;;;
I show that, for Whorf, when we talk we affirm common conceptualizations extant in the culture rather than conceptualization being determined by the language system itself.;1;3;0;1;47;;;;;;;;;;;;;;;;;;;;;;
Finally, I indicate some implications of this reading of Whorf for stylistics and critical linguistics.;1;3;-1;-1;47;;;;;;;;;;;;;;;;;;;;;;
The Whorfian hypothesis suggests that differences between languages cause differences in cognitive processes.;1;1;-1;-1;48;;;;;;;;;;;;;;;;;;;;;;
Support for this idea comes from studies that find that patterns of colour memory errors made by speakers of different languages align with differences in colour lexicons.;0;1;2;1;48;;;;;;;;;;;;;;;;;;;;;;
The current study provides a large-scale investigation of the relationship between colour language and colour memory, adopting a cross-linguistic and developmental approach.;-1;2;-1;-1;48;;;;;;;;;;;;;;;;;;;;;;
Colour memory on a delayed matching-to-sample (XAB) task was investigated in 2 language groups with differing colour lexicons, for 3 developmental stages and 2 regions of colour space.;-1;2;-1;-1;48;;;;;;;;;;;;;;;;;;;;;;
Analyses used a Bayesian technique to provide simultaneous assessment of two competing hypotheses (H1–Whorfian effect present, H0–Whorfian effect absent).;1;2;-1;-1;48;;;;;;;;;;;;;;;;;;;;;;
Results of the analyses consistently favoured H0.;-1;3;0;1;48;;;;;;;;;;;;;;;;;;;;;;
The findings suggest that Whorfian effects on colour memory are not reliable and that the importance of such effects should not be overestimated.;1;3;0;1;48;;;;;;;;;;;;;;;;;;;;;;
This article critically examines the Sapir-Whorf Hypothesis, which explores the relationship between language and thought.;1;2;-1;-1;49;;;;;;;;;;;;;;;;;;;;;;
The discussion begins with a theoretical framework outlining the distinction between linguistic determinism and linguistic relativity, followed by the contributions of Edward Sapir and Benjamin Lee Whorf.;1;3;-1;-1;49;;;;;;;;;;;;;;;;;;;;;;
It analyzes the ways in which language can shape cognitive processes, drawing on examples from cross-linguistic studies of color, space, and time.;0;3;2;-1;49;;;;;;;;;;;;;;;;;;;;;;
The paper also highlights major criticisms of the hypothesis, particularly its strong deterministic version, while acknowledging the relevance of weaker forms of linguistic relativity.;1;3;1;1;49;;;;;;;;;;;;;;;;;;;;;;
Modern perspectives, including Neo-Whorfian research, cognitive linguistics, and interdisciplinary approaches, are explored to show how the hypothesis has evolved in contemporary scholarship.;1;3;-1;-1;49;;;;;;;;;;;;;;;;;;;;;;
The article concludes by emphasizing the hypothesis’s implications for translation studies, second language acquisition, and multicultural communication, suggesting that while strong determinism is untenable, linguistic relativity remains an important concept for understanding the interplay between language and cognition.;1;3;2;1;49;;;;;;;;;;;;;;;;;;;;;;
In this article, we test a variant of the Sapir-Whorf Hypothesis in the area of complex network theory.;1;2;-1;-1;50;;;;;;;;;;;;;;;;;;;;;;
This is done by analyzing social ontologies as a new resource for automatic language classification.;-1;2;-1;-1;50;;;;;;;;;;;;;;;;;;;;;;
Our method is to solely explore structural features of social ontologies in order to predict family resemblances of languages used by the corresponding communities to build these ontologies.;-1;2;-1;-1;50;;;;;;;;;;;;;;;;;;;;;;
This approach is based on a reformulation of the Sapir-Whorf Hypothesis in terms of distributed cognition.;1;2;-1;-1;50;;;;;;;;;;;;;;;;;;;;;;
Starting from a corpus of 160 Wikipedia-based social ontologies, we test our variant of the Sapir-Whorf Hypothesis by several experiments, and find out that we outperform the corresponding baselines.;1;3;2;1;50;;;;;;;;;;;;;;;;;;;;;;
All in all, the article develops an approach to classify linguistic networks of tens of thousands of vertices by exploring a small range of mathematically well-established topological indices.;-1;3;-1;-1;50;;;;;;;;;;;;;;;;;;;;;;
The importance of peace to human civilisation has raised peace to a somewhat universally essential condition.;-1;1;-1;-1;51;;;;;;;;;;;;;;;;;;;;;;
Since peace means different things to different people, there is a void in the debate on the conceptualisation of peace.;0;1;-1;-1;51;;;;;;;;;;;;;;;;;;;;;;
Galtung (1969, 1990) views peace as being either negative or positive and Richmond (2007) adopts a liberal standpoint, arguing that the concept of peace itself is ontologically unstable and essentially contested.;-1;1;-1;-1;51;;;;;;;;;;;;;;;;;;;;;;
The issue of conceptualisation has been met with much hesitation on the part of the research community.;-1;1;-1;-1;51;;;;;;;;;;;;;;;;;;;;;;
Explanations giving reasons for the increasing use of adjectives to qualify peace are lacking in previous research.;-1;1;-1;-1;51;;;;;;;;;;;;;;;;;;;;;;
This article contributes to filling this gap in the peace research literature by attempting to use linguistic theory to provide reasons why there are many variations in the usage of the peace concept constructed mostly through the help and use of adjectives.;-1;2;-1;-1;51;;;;;;;;;;;;;;;;;;;;;;
