text;ug_relevance_sentence;ug_type;ug_stance;ug_arg;ug_absract_number;;;;;;;;;;;;;;;
This relationship is frequently suggested to derive from a language-specific biological endowment, which encodes universal, but communicatively arbitrary, principles of language structure (a Universal Grammar or UG).;1;1;2;-1;33;;;;;;;;;;;;;;;
How might such a UG have evolved?;1;2;1;-1;33;;;;;;;;;;;;;;;
We argue that UG could not have arisen either by biological adaptation or non-adaptationist genetic processes, resulting in a logical problem of language evolution.;1;3;0;1;33;;;;;;;;;;;;;;;
"Specifically, as the processes of language change are much more rapid than processes of genetic change, language constitutes a ""moving target"" both over time and across different human populations, and, hence, cannot provide a stable environment to which language genes could have adapted.";-1;3;0;1;33;;;;;;;;;;;;;;;
We conclude that a biologically determined UG is not evolutionarily viable.;1;3;0;1;33;;;;;;;;;;;;;;;
Instead, the original motivation for UG--the mesh between learners and languages--arises because language has been shaped to fit the human brain, rather than vice versa.;1;3;0;1;33;;;;;;;;;;;;;;;
"Following Darwin, we view language itself as a complex and interdependent ""organism,"" which evolves under selectional pressures from human learning and processing mechanisms.";-1;3;0;1;33;;;;;;;;;;;;;;;
That is, languages themselves are shaped by severe selectional pressure from each generation of language users and learners.;-1;3;0;1;33;;;;;;;;;;;;;;;
This suggests that apparently arbitrary aspects of linguistic structure may result from general learning and processing biases deriving from the structure of thought processes, perceptuo-motor factors, cognitive limitations, and pragmatics.;-1;3;0;1;33;;;;;;;;;;;;;;;
It is widely held that children’s linguistic input underdetermines the correct grammar, and that language learning must therefore be guided by innate linguistic constraints.;0;1;2;1;34;;;;;;;;;;;;;;;
Here, we show that a Bayesian model can learn a standard poverty-of-stimulus example, anaphoric one, from realistic input by relying on indirect evidence, without a linguistic constraint assumed to be necessary.;0;3;0;1;34;;;;;;;;;;;;;;;
"Our demonstration does, however, assume other linguistic knowledge; thus, we reduce the problem of learning anaphoric one to that of learning this other knowledge.";-1;3;1;1;34;;;;;;;;;;;;;;;
We discuss whether this other knowledge may itself be acquired without linguistic constraints.;0;2;-1;-1;34;;;;;;;;;;;;;;;
Lidz et al. [Lidz, J., Waxman, S., & Freedman, J. (2003). What infants know about syntax but couldn't have learned: Experimental evidence for syntactic structure at 18 months. Cognition, 89, B65-B73.] claim experimental substantiation of an argument from the poverty of the stimulus, in the sense of Pullum and Scholz [Linguist. Rev. 19 (2002) 9].;0;1;2;1;35;;;;;;;;;;;;;;;
They cite a specific feature of English--the assignment of appropriate antecedents for anaphoric one--that cannot possibly be learned from experience because the evidence needed is found only in utterances of a type too rare to be encountered.;0;1;2;1;35;;;;;;;;;;;;;;;
Their argument involves three empirical claims.;-1;1;-1;-1;35;;;;;;;;;;;;;;;
In this note we dispute all three.;-1;2;0;-1;35;;;;;;;;;;;;;;;
Syntactic knowledge is widely held to be partially innate, rather than learned.;0;1;2;-1;36;;;;;;;;;;;;;;;
In a classic example, it is sometimes argued that children know the proper use of anaphoric one, although that knowledge could not have been learned from experience.;0;1;2;1;36;;;;;;;;;;;;;;;
"Lidz et al. [Lidz, J., Waxman, S., & Freedman, J. (2003). What infants know about syntax but couldn’t have learned: Experimental evidence for syntactic structure at 18 months. Cognition, 89, B65–B73.] pursue this argument, and present corpus and experimental evidence that appears to support it; they conclude that specific aspects of this knowledge must be innate.";0;1;2;1;36;;;;;;;;;;;;;;;
We demonstrate, contra Lidz et al., that this knowledge may in fact be acquired from the input, through a simple Bayesian learning procedure.;0;3;0;1;36;;;;;;;;;;;;;;;
The learning procedure succeeds because it is sensitive to the absence of particular input patterns—an aspect of learning that is apparently overlooked by Lidz et al. ;0;3;0;1;36;;;;;;;;;;;;;;;
More generally, we suggest that a prominent form of the “argument from poverty of the stimulus” suffers from the same oversight, and is as a result logically unsound.;-1;3;0;1;36;;;;;;;;;;;;;;;
This commentary aims to highlight what exactly is controversial about the traditional Universal Grammar (UG) hypothesis and what is not.;1;2;1;-1;37;;;;;;;;;;;;;;;
There is widespread agreement that we are not born “blank slates,” that language universals exist, that grammar exists, and that adults have domain-specific representations of language.;1;1;2;-1;37;;;;;;;;;;;;;;;
The point of contention is whether we should assume that there exist unlearned syntactic universals that are arbitrary and specific to Language.;0;3;1;-1;37;;;;;;;;;;;;;;;
Linguistics is supposed to be the study of linguistic competence.;-1;1;-1;-1;38;;;;;;;;;;;;;;;
The sentences used by linguists to illustrate their arguments are presumably structures that can be generated by the rules that make up the native speaker's competence.;-1;1;-1;-1;38;;;;;;;;;;;;;;;
Therefore, all normal native speakers should in principle be capable of processing them. ;-1;3;-1;-1;38;;;;;;;;;;;;;;;
In this study, adult respondents of various educational backgrounds were presented with a series of test sentences based on examples drawn from recent publications in the GB framework.;-1;2;-1;-1;38;;;;;;;;;;;;;;;
The test was carefully designed to minimise the effects of extrinsic factors such as memory limitations and lapses of attention.;-1;2;-1;-1;38;;;;;;;;;;;;;;;
It was found that performance increased dramatically with educational achievement, with the least educated respondents consistently obtaining very low scores.;-1;3;0;1;38;;;;;;;;;;;;;;;
An analysis of the patterns of answers given by respondents of various educational backgrounds revealed that the least educated speakers were also the most likely to ignore syntactic cues and rely on non-linguistic strategies in interpreting the test sentences.;-1;3;0;1;38;;;;;;;;;;;;;;;
Thus, the results suggest that the ability to deal with the carefully edited, highly syntacticized structures that one encounters in publications dealing with language is acquired in the course of formal education and is far from universal.;0;3;0;1;38;;;;;;;;;;;;;;;
This in turn raises doubts about the traditional 'logical' argument for innateness.;0;3;0;1;38;;;;;;;;;;;;;;;
The “logical” argument for innateness is based on the premise that the principles and parameters of Universal Grammar are unlearnable, either because young children are deemed unable to deduce abstract rules from the language input or because the relevant evidence is not present in the input.;1;1;2;1;39;;;;;;;;;;;;;;;
It is possible to turn the argument around, however. ;-1;3;1;-1;39;;;;;;;;;;;;;;;
In addition to the “core” defined by UG, the grammar of any particular language also contains a “periphery”: a large body of language-specific, often highly idiosyncratic statements which specify the actual forms used to convey grammatical distinctions, the specific contexts in which these forms occur, and many other crucial “details”.;1;1;0;1;39;;;;;;;;;;;;;;;
Since such statements cannot be innately specified and yet form part of the mature speaker’s competence, they must be learnable.;0;3;0;1;39;;;;;;;;;;;;;;;
We might call this the logical argument for learnability.;0;3;0;-1;39;;;;;;;;;;;;;;;
This paper deliberates for a number of linguistic features whether they are part of UG, i.e., specific to human language, or whether they are adapted from other cognitive capacities which were evolutionarily prior to language.;1;2;1;-1;40;;;;;;;;;;;;;;;
Among others, it is argued that the distinction between predication and reference already belongs to the conceptual system, whereas the distinction between verb and noun (which is not identical with the former one) is one of the innovations of UG.;1;3;2;1;40;;;;;;;;;;;;;;;
It is furthermore argued that syntax in the sense that it deals with displacement (‘movement’) is a property of human language that lies outside of UG.;1;3;0;1;40;;;;;;;;;;;;;;;
The paper then discusses whether linguistic typology can contribute to our knowledge of UG, and whether aiming at this is a reasonable goal for typological research.;1;2;1;-1;40;;;;;;;;;;;;;;;
It stands against Newmeyer’s position (this special issue) that typological evidence is essentially irrelevant for the construction of UG, as well as against Haspelmath’s position (this special issue), who argues that typological research can do without a concept of UG.;1;3;2;-1;40;;;;;;;;;;;;;;;
The evidence that native language acquisition is possible only because children are born with an innately-determined language faculty - Universal Grammar - is considerable.;1;1;2;1;41;;;;;;;;;;;;;;;
The evidence that the same innate ability is involved in second language acquisition (SLA) by older learners is superficially less clear.;0;1;-1;-1;41;;;;;;;;;;;;;;;
There are differences both in the context of acquisition and the nature of development.;0;3;-1;-1;41;;;;;;;;;;;;;;;
One recent approach suggests that only ‘poverty of the stimulus’ phenomena - where neither the first language (L1) nor the second language (L2) are possible sources for L2 representations - can provide incontrovertible evidence for Universal Grammar (UG) in SLA.;1;1;2;1;41;;;;;;;;;;;;;;;
I argue that while ‘poverty of the stimulus’ phenomena are important landmarks in theory development in SLA research, they are not the most compelling reason for assuming the involvement of UG.;1;3;2;1;41;;;;;;;;;;;;;;;
More compelling are attempts to explain L2-L1 differences.;-1;3;2;1;41;;;;;;;;;;;;;;;
The latter are likely to lead to real progress, not only in understanding the nature of SLA but also the structure and organization of the language faculty itself.;0;3;-1;-1;41;;;;;;;;;;;;;;;
Evans & Levinson (E&L) claim Kiowa number as a prime example of the semantically unexpected, threatening both Universal Grammar and Linguistic Universals.;1;1;0;1;42;;;;;;;;;;;;;;;
This commentary, besides correcting factual errors, shows that the primitives required for Kiowa also explain two unrelated semantically unexpected patterns and derive two robust Linguistic Universals.;0;3;2;1;42;;;;;;;;;;;;;;;
Consequently, such apparent exceptionality argues strongly for Universal Grammar and against E&L.;1;3;2;1;42;;;;;;;;;;;;;;;
We consider here two potential arguments for Universal Grammar other than that based on poverty of the stimulus.;1;2;1;-1;43;;;;;;;;;;;;;;;
One stems from the limited number of notions that are grammatically encoded in the languages of the world.;-1;1;2;1;43;;;;;;;;;;;;;;;
The other rests on the fact that of all mathematically possible orders of constituents only a subset is actually attested.;-1;1;2;1;43;;;;;;;;;;;;;;;
"Neither limitation appears to follow naturally from cognitive, historical, cultural, processing, or other factors; which makes it plausible to think of them as forced upon us by Universal Grammar, perhaps as a consequence of how it crystallized at some distant point of the evolution of our species.";1;3;2;1;43;;;;;;;;;;;;;;;
This essay challenges the conventional nature/nurture debate in understanding Universal Grammar (UG), proposing that core language universals can arise from semiotic constraints inherent to symbolic reference.;1;3;0;1;44;;;;;;;;;;;;;;;
It argues that these constraints precede language and emphasize functional expression, despite being neither strictly biological nor cultural.;-1;3;0;1;44;;;;;;;;;;;;;;;
Furthermore, it draws parallels with mathematical universals, suggesting that similar non-arbitrary structures can be found in other domains, where symbolic representation is dictated by combinatorial principles and limits.;0;3;0;1;44;;;;;;;;;;;;;;;
Generative linguistic theory stands on the hypothesis that grammar cannot be acquired solely on the basis of an analysis of the input, but depends, in addition, on innate structure within the learner to guide the process of acquisition.;1;1;2;1;45;;;;;;;;;;;;;;;
This hypothesis derives from a logical argument, however, and its consequences have never been examined experimentally with infant learners.;-1;1;0;1;45;;;;;;;;;;;;;;;
Challenges to this hypothesis, claiming that an analysis of the input is indeed sufficient to explain grammatical acquisition, have recently gained attention.;0;1;0;1;45;;;;;;;;;;;;;;;
We demonstrate with novel experimentation the insufficiency of this countervailing view.;-1;3;2;1;45;;;;;;;;;;;;;;;
Focusing on the syntactic structures required to determine the antecedent for the pronoun one, we demonstrate that the input to children does not contain sufficient information to support unaided learning.;0;3;2;1;45;;;;;;;;;;;;;;;
Nonetheless, we show that 18-month-old infants do have command of the syntax of one.;-1;3;2;1;45;;;;;;;;;;;;;;;
Because this syntactic knowledge could not have been gleaned exclusively from the input, infants' mastery of this aspect of syntax constitutes evidence for the contribution of innate structure within the learner in acquiring a grammar.;0;3;2;1;45;;;;;;;;;;;;;;;
Universal Grammar (UG) has long been a foundational hypothesis in generative linguistics, proposing that human language is constrained by an innate, domain-specific cognitive system.;1;1;2;-1;46;;;;;;;;;;;;;;;
Recent advances in artificial intelligence, particularly large neural language models, have reignited debates regarding the necessity and explanatory adequacy of UG.;1;1;0;1;46;;;;;;;;;;;;;;;
These models demonstrate remarkable linguistic performance despite lacking explicit grammatical representations, leading some scholars to argue that statistical learning mechanisms may render Universal Grammar theoretically redundant.;1;1;0;1;46;;;;;;;;;;;;;;;
This study offers a theory-driven empirical investigation into whether artificial intelligence genuinely challenges Universal Grammar or merely simulates linguistic behavior at a surface level.;1;2;1;-1;46;;;;;;;;;;;;;;;
Drawing on Minimalist syntax, experimental findings from the generative tradition, and comparative analyses of UG-constrained and UG-violating structures, this paper argues that neural language models fail to consistently respect core grammatical constraints central to UG.;1;3;2;1;46;;;;;;;;;;;;;;;
The findings suggest that artificial intelligence does not falsify Universal Grammar but instead clarifies the distinction between probabilistic language modeling and human grammatical competence.;1;3;2;1;46;;;;;;;;;;;;;;;
The study contributes to ongoing debates at the intersection of theoretical linguistics, cognitive science, and artificial intelligence.;-1;3;-1;-1;46;;;;;;;;;;;;;;;
Evans & Levinson (E&L) argue against Universal Grammar on the basis of language diversity.;1;1;0;1;47;;;;;;;;;;;;;;;
A related and fundamental issue is whether the language input provides sufficient information for a child to acquire it.;0;1;1;-1;47;;;;;;;;;;;;;;;
I briefly discuss the more integrated approaches to language acquisition which focus on the mechanisms, and research showing that input cues provide valuable information for the language learner.;0;3;0;1;47;;;;;;;;;;;;;;;
In just a few years, children achieve a stable state of linguistic competence, making them effectively adults with respect to: understanding novel sentences, discerning relations of paraphrase and entailment, acceptability judgments, etc.;-1;1;-1;-1;48;;;;;;;;;;;;;;;
One familiar account of the language acquisition process treats it as an induction problem of the sort that arises in any domain where the knowledge achieved is logically underdetermined by experience.;0;1;0;1;48;;;;;;;;;;;;;;;
This view highlights the ‘cues’ that are available in the input to children, as well as childrens skills in extracting relevant information and forming generalizations on the basis of the data they receive.;0;1;0;1;48;;;;;;;;;;;;;;;
Nativists, on the other hand, contend that language-learners project beyond their experience in ways that the input does not even suggest.;0;1;2;-1;48;;;;;;;;;;;;;;;
Instead of viewing language acqusition as a special case of theory induction, nativists posit a Universal Grammar, with innately specified linguistic principles of grammar formation.;1;1;2;-1;48;;;;;;;;;;;;;;;
The ‘nature versus nurture’ debate continues, as various “poverty of stimulus” arguments are challenged or supported by developments in linguistic theory and by findings from psycholinguistic investigations of child language.;-1;1;1;1;48;;;;;;;;;;;;;;;
In light of some recent challenges to nativism, we rehearse old poverty-of stimulus arguments, and supplement them by drawing on more recent work in linguistic theory and studies of child language.;-1;3;2;1;48;;;;;;;;;;;;;;;
A fundamental goal of linguistic theory is to explain how natural languages are acquired.;0;1;-1;-1;49;;;;;;;;;;;;;;;
This paper describes some recent findings on how learners acquire syntactic knowledge for which there is little, if any, decisive evidence from the environment.;0;1;-1;-1;49;;;;;;;;;;;;;;;
The first section presents several general observations about language acquisition that linguistic theory has tried to explain and discusses the thesis that certain linguistic properties are innate because they appear universally and in the absence of corresponding experience.;0;3;2;1;49;;;;;;;;;;;;;;;
A third diagnostic for innateness, early emergence, is the focus of the second section of the paper, in which linguistic theory is tested against recent experimental evidence on children's acquisition of syntax.;0;3;1;1;49;;;;;;;;;;;;;;;
This project involves examining the linguistic properties of Nicaraguan Sign Language (ISN) which developed rapidly after the creation of a deaf community in Nicaragua in the late 1970’s. ;-1;1;-1;-1;50;;;;;;;;;;;;;;;
Throughout the 1980s, as the language was passed from one cohort of signers to the next, the language became increasingly complex.;-1;1;-1;-1;50;;;;;;;;;;;;;;;
ISN is one of the very few languages that linguists have had the chance to study as it was created and evolved.;-1;1;-1;-1;50;;;;;;;;;;;;;;;
Therefore ISN provides a unique opportunity to study the origin of language, language evolution, and universal grammar.;1;2;-1;-1;50;;;;;;;;;;;;;;;
The theory of Universal Grammar claims that there are core principles that are universal to all languages (Chomsky, 1965).;1;1;2;-1;50;;;;;;;;;;;;;;;
Humans are able to use their language faculty, their ability to create grammar, because of the existence of universal grammar.;1;1;2;1;50;;;;;;;;;;;;;;;
Due to the lack of empirical evidence on a primordial language, scholars must make assumptions about the origin of language using languages available today.;-1;1;-1;-1;50;;;;;;;;;;;;;;;
By examining linguistic properties such as syntax, morphology, and phonology of ISN, we can learn what principles are universal to all languages and how language becomes more complex as rules are added on top of these principles.;0;3;2;1;50;;;;;;;;;;;;;;;
The goal of this study is to develop an instrument that can be used to interview a specialist of ISN within Nicaragua.;-1;3;-1;-1;50;;;;;;;;;;;;;;;
Future work would include conducting this interview and drawing additional conclusions from the findings.;-1;3;-1;-1;50;;;;;;;;;;;;;;;
Evidence of children’s sensitivity to statistical features of their input in language acquisition is often used to argue against learning mechanisms driven by innate knowledge.;0;1;0;1;51;;;;;;;;;;;;;;;
At the same time, evidence of children acquiring knowledge that is richer than the input supports arguments in favor of such mechanisms.;0;1;2;1;51;;;;;;;;;;;;;;;
This tension can be resolved by separating the inferential and deductive components of the language learning mechanism.;0;3;1;1;51;;;;;;;;;;;;;;;
Universal Grammar provides representations that support deductions about sentences that fall outside of experience.;1;3;2;1;51;;;;;;;;;;;;;;;
In addition, these representations define the evidence that learners use to infer a particular grammar.;-1;3;2;1;51;;;;;;;;;;;;;;;
The input is compared with the expected evidence to drive statistical inference. ;0;3;1;1;51;;;;;;;;;;;;;;;
In support of this model, we review evidence of (a) children’s sensitivity to the environment, (b) mismatches between input and intake, (c) the need for learning mechanisms beyond innate representations, and (d) the deductive consequences of children’s acquired syntactic representations.;0;3;1;1;51;;;;;;;;;;;;;;;
While studies of gestures generally focus on their cospeech use, gestures can sometimes be produced on their own, with a dedicated time slot.;-1;1;-1;-1;52;;;;;;;;;;;;;;;
Such “pure gestures” have yielded three key findings.;-1;3;-1;-1;52;;;;;;;;;;;;;;;
First, their iconic content can be divided “on the fly” among traditional slots of the inferential typology of language.;-1;3;-1;-1;52;;;;;;;;;;;;;;;
This finding extends to novel gestures, visual animations, and (iconically modulated) sign language classifiers, which suggests that the inferential typology is mostly derived through productive rather than lexical means.;-1;3;-1;-1;52;;;;;;;;;;;;;;;
Second, some pure gestures have a grammar reminiscent of some constructions of sign languages (despite the fact that the latter are not gestural systems).;-1;3;-1;-1;52;;;;;;;;;;;;;;;
While this could suggest that Universal Grammar specifies certain form-to-function mappings, an alternative is that these mappings have deeper cognitive roots.;1;3;1;1;52;;;;;;;;;;;;;;;
Finally, pure gestures have a dedicated iconic syntax, which resembles that of sign language classifiers.;-1;3;-1;-1;52;;;;;;;;;;;;;;;
Overall, these results highlight the importance of gestures for theoretical linguistics and the fruitfulness of multimodal investigations that include gestures and signs.;-1;3;-1;-1;52;;;;;;;;;;;;;;;
Claims made by linguist Daniel Everett, that the Pirah? language, spoken by a small group of native Amazonians, lacks features thought to be universally present in languages, captured the imaginations of scholars and prompted broader questions on the nature of language, the diversity in languages, and the universals shared by them.;-1;1;0;1;53;;;;;;;;;;;;;;;
Everett claimed that, in Pirah?, he had found a language without numbers, colors, mythology, abstract thinking, or recursive embedding.;-1;1;0;1;53;;;;;;;;;;;;;;;
These claims were challenged by proponents of a universal grammar and by other biological linguists concerned with identifying shared faculties that undergird human cognitive capacities and by linguistic anthropologists concerned with the products of those potentials as they are actualized in the interactivity of speaking.;1;1;2;1;53;;;;;;;;;;;;;;;
Situating the Pirah? in historical and sociological context, I question the novelty of a faculty of language and many of Everett's claims of Pirah? exceptionality, and I explore the renewed interest in the nature of language.;0;3;2;1;53;;;;;;;;;;;;;;;
Developments in the study of language and cognition give increasing credibility to the view that human knowledge of natural language results from—and is made possible by—a biologically determined capacity specific both to this domain and to our species.;-1;1;2;1;54;;;;;;;;;;;;;;;
The functional properties of this capacity develop along a regular maturational path, such that it seems more appropriate to speak of knowledge of our own language as growing rather than as being learned.;-1;1;2;1;54;;;;;;;;;;;;;;;
That our learning of language results from a specific innate capacity rather than by general mechanisms of induction is supported by the extent to which we can be shown to know things that we could not have learned from observation of any plausible available teaching.;0;1;2;1;54;;;;;;;;;;;;;;;
The domain-specificity of the language faculty is supported by the many dissociations that can be observed between control of language structure and other cognitive functions.;0;1;2;1;54;;;;;;;;;;;;;;;
Finally, the species-specificity of the human language faculty is supported by the observation that (absent severe pathology) every human child exposed in even limited ways to the triggering experience of linguistic data develops a full, rich capacity that is essentially homogeneous with that of the surrounding community.;-1;1;2;1;54;;;;;;;;;;;;;;;
Efforts to teach human language to other species, however, have uniformly failed.;-1;1;2;1;54;;;;;;;;;;;;;;;
These considerations make it plausible that human language arises in biologically based ways that are quite comparable to those directing other aspects of the structure of the organism.;-1;3;2;1;54;;;;;;;;;;;;;;;
The language organ, in this sense, can be interpreted in a functional sense, and not as implying an anatomical location comparable to that of, say, the kidney.;-1;3;2;-1;54;;;;;;;;;;;;;;;
Recent advances in genetics and neurobiology have greatly increased the degree of variation that one finds in what is taken to provide the biological foundations of our species-specific linguistic capacities.;-1;1;1;1;55;;;;;;;;;;;;;;;
In particular, this variation seems to cast doubt on the purportedly homogeneous nature of the language faculty traditionally captured by the concept of “Universal Grammar.”;1;1;0;1;55;;;;;;;;;;;;;;;
In this article we discuss what this new source of diversity reveals about the biological reality underlying Universal Grammar.;1;2;-1;-1;55;;;;;;;;;;;;;;;
Our discussion leads us to support (1) certain hypotheses advanced in evolutionary developmental biology that argue for the existence of robust biological mechanisms capable of canalizing variation at different levels, and (2) a bottom-up perspective on comparative cognition.;-1;3;0;1;55;;;;;;;;;;;;;;;
We conclude by sketching future directions for what we call “comparative biolinguistics,” specifying which experimental directions may help us succeed in this new research avenue.;-1;2;-1;-1;55;;;;;;;;;;;;;;;
An attempt to construct a generative grammar of French with a coverage comparable to that of traditional grammars has failed.;0;3;0;1;56;;;;;;;;;;;;;;;
"A description has been arrived at in the course of this work, however; it is much more complex than expected, and turns out to be entirely taxonomic.";-1;3;0;1;56;;;;;;;;;;;;;;;
This result calls into question the validity of the so-called theory of generative grammar.;1;3;0;-1;56;;;;;;;;;;;;;;;
This paper provides an overview of what we take to be the key current issues in the field of Generative Grammar, the study of the human Faculty of Language.;1;2;2;-1;57;;;;;;;;;;;;;;;
We discuss some of the insights this approach to language has produced, including substantial achievements in the understanding of basic properties of language and its interactions with interfacing systems.;-1;2;2;1;57;;;;;;;;;;;;;;;
This progress in turn gives rise to new research questions, many of which could not even be coherently formulated until recently.;-1;3;1;1;57;;;;;;;;;;;;;;;
We highlight some of the most pressing outstanding challenges, in the hope of inspiring future research.;-1;3;1;1;57;;;;;;;;;;;;;;;
This paper considers the question of explanation in second language acquisition within the context of two approaches to universals, Universal Grammar and language typology.;1;2;1;-1;58;;;;;;;;;;;;;;;
After briefly discussing the logic of explaining facts by including them under general laws (Hempel & Oppenheim 1948), the paper makes a case for the typological approach to explanation being the more fruitful, in that it allows more readily for the possibility of ‘explanatory ascent’, the ability to propose more general, higher order explanations by having lower-level generalizations follow from more general principles.;-1;3;0;1;58;;;;;;;;;;;;;;;
The UG approach, on the other hand is less capable of such explanatory ascent because of the postulation that the innate, domain-specific principles of UG are not reducible in any interesting way to higher order principles of cognition (Chomsky 1982).;1;3;0;1;58;;;;;;;;;;;;;;;
This paper reviews the previous literature on whether the Verb Island phenomenon challenges the Universal Grammar account and supports the Usage-Based Model, as well as the alternative approach provided by the Construction Grammar of Goldberg.;1;2;1;1;59;;;;;;;;;;;;;;;
This paper argues that Verb Islands reflect learning from experience rather than innate grammatical knowledge.;0;3;0;1;59;;;;;;;;;;;;;;;
Research on young children shows that their early verb use is limited to individual verbs and does not show broad grammatical productivity.;-1;1;0;1;59;;;;;;;;;;;;;;;
Therefore, it fits well with usage-based explanations that link development to input frequency and gradual learning.;0;3;0;1;59;;;;;;;;;;;;;;;
The paper also considers how Construction Grammar accounts for early verb-specific patterns. ;-1;2;0;-1;59;;;;;;;;;;;;;;;
In Construction Grammar, language learning is described as extending from the primary constructions that consist of fixed schemas, which is similar to what the Verb Islands have found in children.;-1;1;0;1;59;;;;;;;;;;;;;;;
Therefore, compared with Universal Grammar, Construction Grammar can be used as a more effective theoretical account for explaining the mechanisms of child language acquisition.;1;3;0;1;59;;;;;;;;;;;;;;;
"This article examines a type of argument for linguistic nativism that takes the following form: (i) a fact about some natural language is exhibited that allegedly could not be learned from experience without access to a certain kind of (positive) data; (ii) it is claimed that data of the type in question are not found in normal linguistic experience; hence (iii) it is concluded that people cannot be learning the language from mere exposure to language use.";0;2;-1;-1;60;;;;;;;;;;;;;;;
We analyze the components of this sort of argument carefully, and examine four exemplars, none of which hold up.;-1;2;0;1;60;;;;;;;;;;;;;;;
We conclude that linguists have some additional work to do if they wish to sustain their claims about having provided support for linguistic nativism, and we offer some reasons for thinking that the relevant kind of future work on this issue is likely to further undermine the linguistic nativist position.;0;3;0;1;60;;;;;;;;;;;;;;;
This article introduces the Universal-Grammar-based (UG) theory of language acquisition.;1;2;2;-1;61;;;;;;;;;;;;;;;
It focuses on parameters, both as a theoretical construct and in relation to first-language acquisition (L1A).;-1;2;2;-1;61;;;;;;;;;;;;;;;
The null subject parameter is used to illustrate how languages vary and explain how a child’s grammar develops into adult grammar over time.;-1;1;-1;-1;61;;;;;;;;;;;;;;;
The article is structured as follows: the first section outlines crucial ideas that are relevant to language acquisition in generative linguistics, such as the notions of competence, performance, critical period, and language faculty.;0;3;2;1;61;;;;;;;;;;;;;;;
Section two introduces and discusses the content of language faculty from the perspectives of the Principles and Parameters Theory and the Minimalist Program for Linguistic Theory.;0;2;2;1;61;;;;;;;;;;;;;;;
This section also briefly describes the contrast among languages in regard to whether or not they allow empty categories in subject position in finite clauses.;-1;2;-1;-1;61;;;;;;;;;;;;;;;
The third section first discusses how children are hypothesised to acquire their native language (L1).;0;2;1;-1;61;;;;;;;;;;;;;;;
Then, in light of findings from the early null subject phenomenon, this section empirically examines the content of grammars that are developed by children at various developmental stages until they acquire the appropriate value for the null subject parameter.;-1;3;2;1;61;;;;;;;;;;;;;;;
The final section highlights the important role of UG theory to L1A.;1;3;2;-1;61;;;;;;;;;;;;;;;
The argument from the poverty of the stimulus as Pullum and Scholz define it (their APS) is undeniably true, given that all language learners acquire the ability to generate more sentences of the target language than they have heard.;0;1;2;1;62;;;;;;;;;;;;;;;
Uniformity across learners with respect to the additional sentences they project suggests that grammar induction is guided by general principles, which must be innate.;0;1;2;1;62;;;;;;;;;;;;;;;
What remains to be established is exactly which sentences can be projected on the basis of which others.;-1;3;2;-1;62;;;;;;;;;;;;;;;
The details of this are important to linguistic theory and to the psycho-computational modelling of natural language acquisition.;0;3;-1;-1;62;;;;;;;;;;;;;;;
They are not of great significance to the generic issue of nativism versus empiricism, except that they may clarify the extent to which the innate knowledge in question is specific to language.;0;3;2;-1;62;;;;;;;;;;;;;;;
The argument for linguistic nativism appears to be solidly supported by the distinctive patterns of generalization that learners adopt in the absence of systematic negative evidence (a limitation that Pullum and Scholz exclude from APS).;0;1;2;1;62;;;;;;;;;;;;;;;
We argue that innate knowledge of how to represent natural language facts is necessary in order for learners to extract from their input the information that it does contain.;0;3;2;1;62;;;;;;;;;;;;;;;
Pullum and Scholz themselves rely on Universal Grammar in just this role when they make specific suggestions as to how learners arrive at the right generalizations.;1;1;2;1;62;;;;;;;;;;;;;;;
This paper aims at reflecting the recent development in Second Language (SL) learning through Chomsky?s principles and parameters in Universal Grammar, as many scholars have their opinions on Chomsky?s theory on universal grammar and have their comments on it.;1;2;2;-1;63;;;;;;;;;;;;;;;
Universal Grammar (UG) proposed by Chomsky (1986) has gained a huge popularity in language and linguistics study.;1;1;2;-1;63;;;;;;;;;;;;;;;
The paper discusses the relevance of Universal Grammar to Second Language Acquisition (SLA) from different aspects: accessibility of UG, L1 and L2 acquisition differences, learning models, poverty of the stimulus argument, and debates on principles and parameters in SLA.;1;3;1;1;63;;;;;;;;;;;;;;;
Then, it addresses the three hypotheses of Universal grammar in Second Language Acquisition (SLA) which focuses on whether adult language learners have access to the principles and parameters of UG in constructing the grammar of a second language.;1;3;-1;-1;63;;;;;;;;;;;;;;;
Moreover, the paper investigates shortcomings of UG in application of SLA, and discuss elaborately on the recent challenges that UG faces in the field of Second language Acquisition (SLA).;1;3;0;1;63;;;;;;;;;;;;;;;
Standard practice in linguistics often obscures the connection between theory and data, leading some to the conclusion that generative linguistics could not serve as the basis for a cognitive neuroscience of language.;0;1;0;-1;64;;;;;;;;;;;;;;;
Here the foundations and methodology of generative grammar are clarified with the goal of explaining how generative theory already functions as a reasonable source of hypotheses about the representation and computation of language in the mind and brain.;0;3;2;1;64;;;;;;;;;;;;;;;
The claims of generative theory, as exemplified, e.g., within Chomsky’s (2000) Minimalist Program, are contrasted with those of theories endorsing parallel architectures with independent systems of generative phonology, syntax and semantics.;0;3;1;-1;64;;;;;;;;;;;;;;;
The single generative engine within Minimalist approaches rejects dual routes to linguistic representations, including possible extra-syntactic strategies for semantic structure-building. ;0;1;2;-1;64;;;;;;;;;;;;;;;
